source_url	parsed_url
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/guide-media-personalities-and-outlets-who-are-profiteering-coronavirus-health
https://www.mediamatters.org/	https://www.mediamatters.org/white-nationalism/stephen-miller-emails-reveal-white-nationalist-origin-fox-news-talking-points
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/watch-dr-tony-fauci-debunk-laura-ingrahams-comparison-hiv-treatment-treating
https://www.mediamatters.org/	https://www.mediamatters.org/#youtube
https://www.mediamatters.org/	https://www.mediamatters.org/lou-dobbs/lou-dobbs-suggests-coronavirus-biological-warfare-china-against-united-states
https://www.mediamatters.org/	https://www.mediamatters.org/archives
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/twitter-facilitating-promotion-infowars-hosts-rally-will-flout-texas-social
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/2020-election/race-forecasts-and-predictions/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/2020-election/democratic-presidential-candidates/polls/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tipsheets/morning-money
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/space
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/white-house
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/us-china-relations
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/f/?id=00000171-84eb-d46f-affb-a5fbcb410000
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/terms-of-service
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-144x144.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/finance
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/2020/04/13/inside-the-global-race-to-avoid-a-depression-786803
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/congress
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/2020-election/delegate-count-tracker-democratic-primary/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/agenda
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2020/04/17/french-hill-coronavirus-oversight-panel-192660
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/about-us
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/employment-immigration
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-120x120.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/agriculture
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2020/04/16/lindsey-graham-contradicts-trump-coronavirus-testing-190733
https://www.politico.com/tipsheets/morning-money	https://subscriber.politicopro.com/article/2020/04/fink-rejects-claim-that-fed-is-bailing-out-blackrock-with-etf-buys-3979461
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-152x152.png
https://www.politico.com/tipsheets/morning-money	http://api.addthis.com/oexchange/0.8/forward/facebook/offer?pco=tbx32nj-1.0&amp;url=https://politi.co/3addqAZ&amp;pubid=politico.com
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2020/04/17/democratic-governors-stay-at-home-orders-193081
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/tag/defense
https://www.politico.com/tipsheets/morning-money	https://www.people-press.org/2020/04/16/most-americans-say-trump-was-too-slow-in-initial-response-to-coronavirus-threat/?utm_source=AdaptiveMailer&amp;utm_medium=email&amp;utm_campaign=20-04-16%20COVID%20Trump_GEN%20DISTRO&amp;org=982&amp;lvl=100&amp;ite=5984&amp;lea=1333636&amp;ctr=0&amp;par=1&amp;trk=
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/2020-election/president/democratic-primary/candidates/fundraising-and-campaign-finance-tracker/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/safari-pinned-tab.svg
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2020/04/17/senate-democrats-mike-pence-conference-call-192868
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/subscriptions
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/staff/ben-white
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2020/04/16/coronavirus-poll-worst-to-come-191344
https://www.politico.com/tipsheets/morning-money	https://subscriber.politicopro.com/newsletter-archive/covid-19-coverage-roundup
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/gallery
https://www.politico.com/tipsheets/morning-money	https://subscriber.politicopro.com/financial-services/article/2020/04/libra-association-overhauls-plans-in-bid-to-ease-regulators-fears-1916276
https://www.politico.com/tipsheets/morning-money	https://www.politicopro.com/act-on-the-news?cid=promkt_20q1_corenews_act_money
https://www.politico.com/tipsheets/morning-money	http://www.powerjobs.com/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/newsletters/morning-money/archive
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/privacy-policy
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/states/florida
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/apple-touch-icon-114x114.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/live-events
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/2020-election/candidates-views-on-the-issues/
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/magazine
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/news/2020/04/17/chinas-virus-death-toll-revised-up-sharply-after-review-192126
https://www.politico.com/tipsheets/morning-money	https://www.reuters.com/article/us-usa-economy-businessformation/u-s-business-formation-tanks-as-coronavirus-shuts-economy-idUSKBN21Y35L
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/favicon-16x16.png
https://www.politico.com/tipsheets/morning-money	https://static.politico.com/dims4/default/c73c7f7/2147483647/legacy_thumbnail/57x57/quality/90/?url=https%3A%2F%2Fstatic.politico.com%2Fcf%2F05%2Fee684a274496b04fa20ba2978da1%2Fpolitico.png
https://www.politico.com/tipsheets/morning-money	http://edition.pagesuite-professional.co.uk/Launch.aspx?bypass=true&amp;PBID=74262970-aa07-44b3-80c8-21fa8a8ac376
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/manifest.json
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/favicon-32x32.png
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/ehealth
https://www.politico.com/tipsheets/morning-money	https://www.wsj.com/articles/fed-s-williams-strong-timely-response-to-coronavirus-has-stabilized-markets-11587060301
